,text,aspect,label
0,can you check whether its cancelled completely,cancelled,1
1,cannot rely both milk delivery and grocery items,Milk,0
2,get notification however the really fine,notification,0
3,love this but would love even more gantt charts and calendar view were available iphone,view,1
4,does not let load clip the scene,load,0
5,love notion tool but the mobile just takes way long load,"tool,",2
6,unlimited yearly year,yearly,1
7,some times missing deliver some times different orders are delivered,"deliver,",0
8,would love the ability delete deleted tasks from the easy find menu option,tasks,1
9,please this basic feature,Please,2
10,wanted download the,app,0
11,want learn for the future whether team something wrong whether teammate accidently deleted the file therefore would good get the mailadress kaiser got hacked whether there was failure the notion system,learn,1
12,the desktop version simply awesome comparatively,desktop version,2
13,must support androids multi window api would better tablets and resize the the screen,Androids,0
14,prompt and reliable service,Prompt,2
15,ensure customers are getting delivery everyday inform them advance case delivery failure,delivery,0
16,the ease ordering timely delivery and best part can use the vacation option when not home suggestion should increase the variety products sold,"ease of ordering,",2
17,you can the exported tab only the exported videos,exported,1
18,you can use istock media only month,iStock,1
19,just used the for mins ios and crashed once date selection impossible options are seemingly using white font white background the doesn look good dark mode this the reason for the white white issue,UI,0
20,thought linked databases were favourite feature notionhq,databases,1
21,there difference between you and the regular milkman who infacts charges less delivery charges,delivery charges.,0
22,items missing not logical for the locations,Items missing,0
23,wonderful,app,2
24,can look into this for you could you share the url name the page,share,1
25,sometimes entries databases disappear and have restart the able load again,time,0
26,you have used our day trial and not cancel the subscription from your side and were thus charged,cancel,0
27,have increased using browser but the layout generally broken around there native way,layout,0
28,doens not start only,Doens't,2
29,hello recently purchased the business plan with promo code for the year,Business plan,1
30,but its not entirely optimised for android suppose there are many bugs,android,0
31,have added that domain that workspace end,workspace,1
32,how even know what get plan,plan?,1
33,love the program only the mobile and ipad the filter view doesn work practical the desktop version,filter,0
34,option delivery time after,option of a delivery,0
35,uoload can remove the background,background,1
36,would lot better was more offline,offline app.,0
37,also the membership professional which longer exists,membership,0
38,lags only that the big issue,lags,0
39,notion has become what evernote could not,note,2
40,the nice but there nuisance follows why still applicate mail,MAIL,0
41,does load correctly incognito,load,0
42,try import large amount notes from evernote,notes,0
43,punctuality well keeing update,Punctuality,2
44,reduce products rates reduce service charges,service charges.,0
45,when download the video will people able click the link watch the video how will they watch the video,download,1
46,want voice the video,voice,1
47,understand that you want able the toggle todo number list one control unit,list,1
48,not understand english well,English,1
49,first the loading time for opening the needs improve next that instead having click lot buttons highlight phrase such clicking color and then having click again and choose color would more efficient highlight phrase and then one click for highlighted just like striking phrase,phrase,0
50,talking about the offline mode which you can work something for couple hours and the will log out itself and you lose everything,offline mode,2
51,you can cancel your plan from subscription plan page from your laptop and desktop,cancel,1
52,action database manipulation life hacks series phmaesdnghnaa acti,Database,1
53,colleague has paid subscription why get claim,paid,1
54,those promocodes are not valid,promocodes are not valid,0
55,what going there are serious issues using this software incognito window not previews not loading editing trim video function and previewing videos with missing clips when can expect this addressed,"loading,",0
56,timely updates case product not being delivered getting delayed,Timely updates,0
57,before render when compose its alright but after render comes some places little smaller,render,1
58,this just what needed for crafting supplies just love,crafting supplies,1
59,freezes even small base mostly good but the often hangs when regaining system focus even with small base few tables few dozen records attachments,records,1
60,can not open the file,file,0
61,but the not,app,0
62,how unsubscribe,unsubscribe,1
63,please lock secure sensitive information,secure sensitive information.,0
64,very bad service for the essentials thing like milk,"service,",0
65,why the priority not displayed mobile versions,priority,0
66,maintain proper temparature milk pocket vegetables also not fresh,vegetables,0
67,was overall good experience but lack offline mode sucks,offline mode,0
68,perfect for project management,project,2
69,that video both scenes,scene,1
70,immediate solution queries,No immediate solution,0
